---,Name,Sequence
Backflip,"Backflip","LevelSequence'/Game/Cinematics/Sequences/GuardSequence/Guard_BackFlip.Guard_BackFlip'"
Dribble,"Dribble","LevelSequence'/Game/Cinematics/Sequences/GuardSequence/Guard_Dribble.Guard_Dribble'"
DoubleJumpKick,"DoubleJumpKick","LevelSequence'/Game/Cinematics/Sequences/GuardSequence/Guard_DoubleJumpKick.Guard_DoubleJumpKick'"
Header,"Header","LevelSequence'/Game/Cinematics/Sequences/GuardSequence/Guard_Header.Guard_Header'"
ChestJump,"ChestJump","LevelSequence'/Game/Cinematics/Sequences/GuardSequence/Guard_ChestJump.Guard_ChestJump'"
JumpKick,"JumpKick","LevelSequence'/Game/Cinematics/Sequences/GuardSequence/Guard_JumpKick.Guard_JumpKick'"
LightPass,"LightPass","LevelSequence'/Game/Cinematics/Sequences/GuardSequence/Guard_LightPass.Guard_LightPass'"
SpecialKick,"SpecialKick","LevelSequence'/Game/Cinematics/Sequences/GuardSequence/Guard_SpecialKick.Guard_SpecialKick'"
Run,"Run","LevelSequence'/Game/Cinematics/Sequences/GuardSequence/Guard_Run.Guard_Run'"
PassReceive,"PassReceive","LevelSequence'/Game/Cinematics/Sequences/GuardSequence/Guard_PassReceive.Guard_PassReceive'"
SlideClashSuccessful,"SlideClashSuccessful","LevelSequence'/Game/Cinematics/Sequences/GuardSequence/Guard_SlideClashSuccessful.Guard_SlideClashSuccessful'"
SlideClassUnsuccessful,"SlideClassUnsuccessful","LevelSequence'/Game/Cinematics/Sequences/GuardSequence/Guard_SlideClashUnsuccessful.Guard_SlideClashUnsuccessful'"
Slide,"Slide","LevelSequence'/Game/Cinematics/Sequences/GuardSequence/Guard_Slide.Guard_Slide'"
